"d4r55","RfnDt","rsqaWe","wiI7pd"
"Eva Aro","Local Guide · 61 reseñas · 12 fotos","Hace un año","Una frecuentada plaza en medio de la calle Gran Via donde siempre ocurre algo y los edifícios tienen grandes pantallas de publicidad.. apenas tiene arboles por lo que es una zona de tránsito incomoda en verano y asfixiante, pero tienes todas las tiendas que puedas desear, ropa, tecnologia, muebles... comida, si vas a consumir es tu sitio en Madrid."
"Eduardo Herranz","Local Guide · 393 reseñas · 4.809 fotos","Hace un año","Es un lugar muy popular donde la gente queda para reunirse y luego irse donde sea, ya que es muy céntrico y está rodeado de bares, pubs, tiendas, terrazas...es muy cosmopolita por la gran variedad de personas que se pueden encontrar aquí. A mí me encanta 💖 😃😃👍👍💖…"
"Alfredo S","483 reseñas","Hace un mes","Muy lindo"
"Ernest Valles","Local Guide · 129 reseñas · 119 fotos","Hace un año","Disfrutar de Madrid centro"
"mauro camacho","Local Guide · 232 reseñas · 605 fotos","Hace 3 años","UN LUGAR INSIGNIA DE MADRID ESPAÑA QUE NO PUEDES DEJAR DE CONOCER"
"Nenuk S.B","Local Guide · 301 reseñas · 32 fotos","Hace un año","Es una plaza dinámica y alegré,pero lo único que hace que se vea un poco fea esa plaza es un Cine que está en plena plaza que es un edificio anticuado y pequeño. Que afea muchísimo la plaza y alrededores."
"kenelbi soto solis (Kenel soto)","Local Guide · 175 reseñas · 2.824 fotos","Hace un año","La estación de metro una zona muy concurrida pero muy bonita para tomarte una foto si vienes de paso con Madrid ya que esa torre que tú ves ahí es una zona turística donde las personas le gusta tomarse fotos cuando vienen de visita"
"Arturo Valbuena","Local Guide · 69 reseñas · 42 fotos","Hace un año","Plaza emblemática de Madrid en plena Gran Vía. Espectacular de noche con la iluminación y el ambiente de gente saliendo de copas y musicales....."
"Gustavo","42 reseñas · 68 fotos","Hace un año","Yo que soy de Madrid es una plaza importante del centro, para los turistas hay sitios mucho más interesantes como por ejemplo la zona de Tribunal que tiene muchos museos gratuitos ,donde puedes informarte es el museo de historia de Madrid. Que está al lado de metro Tribunal. O también se puede ir andando desde Callao por la calle Fuencarral, allí os informarán de los de cinco museos gratuitos justo en esa zona, como por ejemplo el de Sorolla que es digno de visitar y es totalmente gratis. Os recomiendo visitar el museo de historia de Madrid que es impresionante para la gente que le guste la cultura,"
"Carlos Redondo Molina","Local Guide · 766 reseñas · 175 fotos","Hace 10 meses","Una plaza maravillosa del Madrid de los 50 actualizada junto a la calle más bonita del mundo: la Gran Vía de Madrid"
"Jose R BG","Local Guide · 213 reseñas · 292 fotos","Hace 6 años","Centro de Madrid, por donde no puedes descartarlo en tus visitras a Madrid. Esta cruzada por la fantastica calle la Calle Gran Via."
"Ivo alvaro Boia cunha (Cunha)","Local Guide · 117 reseñas · 90 fotos","Hace 9 meses","E um lugar muy bonito bastante movimiento com varias lojas centro comercial bares restaurantes etc"
"Pasini Pasini","Local Guide · 265 reseñas · 37 fotos","Hace un año","Como las demás estaciones que tienen una buena estructura, Callao no es diferente, no siempre veo personal a la hora entre 13 y 14, pero por lo general siempre son muy amables para auxiliar en cualquier cosa que sea necesario."
"Danilo Marquez","Local Guide · 224 reseñas · 1.604 fotos","Hace 11 meses","Excelente lugar para visitar"
"Carlos Palancar Clavo","Local Guide · 210 reseñas","Hace 3 semanas","Muy bien estoy"
"dionisio borrallo varela","Local Guide · 239 reseñas · 12 fotos","Hace 2 meses","Es un sitio para visitar"
"Xaverius Textor","Local Guide · 111 reseñas · 54 fotos","Hace 10 meses","El lugar de reunión de todos los madrileños, lleno de tiendas, cines y centros comerciales… ideal para echar el día"
"antoniohl59","Local Guide · 306 reseñas · 827 fotos","Hace 4 meses","Hay de todo y muy comodo"
"Juan Luengo","Local Guide · 171 reseñas · 269 fotos","Hace 4 años","Una de las plazas más famosas de todo Madrid."
"Wilson Quintero","Local Guide · 162 reseñas · 1.982 fotos","Hace 11 meses","Fenomenal"
"Felix Ruiz","143 reseñas · 31 fotos","Hace un año","Es una plaza típica del centro de Madrid, desde donde puedes ir de compras, a comer y beber, al cine y teatros, salas de baile... La oferta es infinita. Puedes llegar andando, en taxi, metro o autobús."
"Luis Eduardo Suarez A.","Local Guide · 48 reseñas · 27 fotos","Hace 4 años","Muchos sitios que visitar,buenos almacenes,ambiente agradable"
"Julissa Garcia","Local Guide · 145 reseñas · 1.047 fotos","Hace 3 años","Bello lugar turístico para ir con toda la familia 😍…"
"Teresa Rodės","Local Guide · 105 reseñas · 287 fotos","Hace 6 años","Las vistas son espectaculares, comida rica y variada aunque un poco cara. Ideal para llevar a amigos que vienen de visita a la ciudad y enseñar la Gran Vía desde las alturas. Varios restaurantes que comparten mesas para sentarse así que puedes probar un poco de todo."
"José Julio Melgares","Local Guide · 2.806 reseñas · 12.351 fotos","Hace 7 años","Está estación está situada en el corazón de la zona comercial de Gran Vía. Ascensores."
"Ccm61","Local Guide · 228 reseñas · 862 fotos","Hace un año","La plaza de Callao no es nada especial, pero su entorno es una maravilla. Así que, bájate en el metro de Callao y empieza a caminar en cualquier dirección, te maravillará la zona."
"Vicente Alfonso","Local Guide · 157 reseñas · 1.665 fotos","Hace 2 años","Icónica plaza de Callao. En el centro de los puntos clave de visita o compras. A partir de aquí tenemos a mano las zonas más emblemáticas de Madrid. Clásico punto de quedada. Y por supuesto el famoso edificio Schweppes luciendo junto a Gran Vía dirección plaza de España."
"Hosman Díaz","Local Guide · 64 reseñas · 21 fotos","Hace 2 años","Un sitio fenomenal en el corazón de Madrid, todo turista no se puede perder dar un paseo por Callao y tomarse una foto en la boca del metro para tener la foto como un genial recuerdo. Encontrará muchos edificios fantásticos."
"Fernando Cantillo","Local Guide · 253 reseñas · 3.047 fotos","Hace 7 años","Buen conectado, centro neurálgico de Madrid"
"Fernando Suarez","Local Guide · 1.035 reseñas · 3.026 fotos","Hace 4 años","Por la mañana temprano cuando las tiendas aún no han abierto y se respira el fresquito de la mañana, apenas con unas pocas personas y casi sin coches es una maravilla pasear por cualquiera de las calles que parten de la plaza. A partir de ahí empieza el mogollón."
"Fu Shoots","Local Guide · 999 reseñas · 1.602 fotos","Hace 3 años","Sitio de visita obligada en Madrid."
"Felix figueroa lugo","Local Guide · 161 reseñas · 196 fotos","Hace 4 años","Una estación muy limpia y agradable muchos negocios"
"Julian Mendez","Local Guide · 41 reseñas · 3 fotos","Hace un año","Faltal , los q supuesta mente cuidan y ayudan , no sirven para eso si no solo para echar chisme en estre ellos y chatear en su celular, deberían limpiar baños q eso si deben saber por q de prestación de servicio no saben nada"
"Pere Domínguez","Local Guide · 181 reseñas · 237 fotos","Hace 4 meses","Lugar de punto de encuentro en Madrid."
"Sergio Acebo ruiz","Local Guide · 38 reseñas · 38 fotos","Hace un año","Un buen sitio para desallunar y ver el Madrid más castizo que hai donde lo hayga.jjjjjj.vuva Madrid esa calle es expectacular la calle el Carmen calle ,preciados y montera están al lado ..."
"SAFE 1107 1107","Local Guide · 99 reseñas · 7 fotos","Hace 8 meses","Siempre el centro es muy agradable para pasear y mirar tiendas"
"Maik Aparicio","Local Guide · 69 reseñas · 2.114 fotos","Hace 2 años","× CALLAO × Todo un símbolo de la Ciudad Madrid Entre Historias, mucho  ambiente y esencia madrileña. La Plaza del Callao es todo un icono y una de las mejores plazas de Madrid para pasear,  e ir de compras o simplemente para  empezar un bonito día de turismo por la capital española... si piensas  Visitar Madrid y no pasear por la Plaza del Callao es una opción que no turista debería contemplar. Este sitio Se trata de una de las plazas con más historia  y ambiente de la capital, tanto de día como de noche. ¡Siempre hay algo que ver y hacer  en Callao! Además de su perfecta  ubicación al final de la Gran Vía y a muy pocos metros de la Puerta del Sol, hacen que Callao sea una parada indispensable en cualquier itinerario por Madrid. ¡pues  simplemente te encantará además  que tiene muy cerca grandes  lugares y espectaculares calles las cuales te jjevaran a sitios famosos  para visitar como lo son LA  GRAN Vía  a solo   aproximadamente 50 mts..  también  esta #Puertas del Sol , #El teatro Real de Madrid , #La Plaza Mayor , y #El mercado de San Miguel  entre otras espectaculares atracciones turísticas que visitar... se Los recomiendo pasar cuando estés en madrid.... sígueme en Instagram  @apariciom69 #maik aparicio 👉👉👉👉👉"
"Raúl Larriba","Local Guide · 341 reseñas · 347 fotos","Hace 2 años","Si vienes a Madrid es un sitio obligatorio para pasear por las zonas más conocidas de la Ciudad. Cerca de Sol, Gran Via y de noche es muy bonito de ver"
"Luis Miguel Mora Monera","Local Guide · 36 reseñas · 599 fotos","Hace un año","Una plaza muy bonita para pasear y hacer fotos en cualquier momento del día"
"Andrea Crespo","38 reseñas · 8 fotos","Hace 10 meses","Esta muy bien remodelado y espacioso, pero hay zonas un poco sucias"
"Alexander Goitia","Local Guide · 28 reseñas · 392 fotos","Hace 2 años","Callao, lugar lleno de una energía excelente, sus colores, los artistas que hay hacen vida, lugar donde tu voz es escuchada por algunos, fotografías por doquier, no se te ocurra ir escondidito porque seguro en alguna foto apareces, un punto de encuentro para comenzar a conocer la ciudad."
"Castilla 1521","Local Guide · 80 reseñas · 43 fotos","Hace 3 años","Lugar céntrico,muy animado especialmente cuando hay manifestaciones de apoyo a raperos y terminan con un gran espectáculo de. Pirotecnia Cines,tiendas, restaurantes,situado en plena Gran Vía de Madrid."
"Ginés Caballero","Local Guide · 63 reseñas · 249 fotos","Hace 2 años","Mítica Plaza de Madrid en el corazón de la Gran Vía. Muchas posibilidades de compras y ocio, especialmente los Mejores Musicales de España están todos a 5 minutos."
"Veronica Luque","Local Guide · 318 reseñas · 184 fotos","Hace 5 años","Es visita obligada si pasas por Gran Vía, un punto de encuentro, con toda clase de comercios, restaurantes, bares, discotecas... Es increíble y no te dejará indiferente, no olvidarse de mirar hacia arriba, pues ahí está la verdadera maravilla del sitio, el cartel de Schweppes, tan cinematográfico, tan bonito, tan vintage, no te lo pierdas, es un símbolo de Madrid. Foto obligada para decir que estuviste en Gran Vía y más concretamente en Callao. Recomiendo por la noche, cuando está iluminado, mola muchísimo!!"
"Santiago Yela García","Local Guide · 280 reseñas · 82 fotos","Hace un año","Estación de metro de Madrid. Plaza enorme de Madrid. Cine, bares, conexiones vehículos diferentes, cerca de Sol y Plaza de España."
"Edgar Alejandro T","Local Guide · 221 reseñas · 826 fotos","Hace 5 años","La plaza del Callao es un lugar típico de Madrid, comunica a la plaza de sol, entre otros lugares. Se encuentra al final de la calle del Carmen y divide en dos tramos la calle Preciados, además de dar comienzo al tercero de la Gran Vía, que acaba en la plaza de España. Esta plaza fue construida entre los años 1917 y 1922, aunque la entrega definitiva de obras no se haría hasta 1927."
"raúl sánchez","Local Guide · 114 reseñas · 18 fotos","Hace 8 meses","Cines y centros comerciales. Muy cerca de Gran Vía y Sol"
"ANTONIO CRUZ SANCHEZ","Local Guide · 3.643 reseñas · 8.897 fotos","Hace 2 meses","Parada en el centro de Madrid, tiene dos líneas de metro, es relativamente moderna"
"Gilis Patrick L.","Local Guide · 107 reseñas · 1.992 fotos","Hace 3 años","Hola,weno es el centro,era bastante vacío la Plaza,por ahí vamos por diferentes direcciones pero en la Plaza no hay terrazas desde su cambio peatonal desde años es ma grande pero falta el verano terrazas para tomar algo,es una lastima,👐🤗…"
"Najera Sevilla","Local Guide · 33 reseñas · 1 foto","Hace un año","Es genial este lugar ahí tiendas donde encuentro lo que me gusta y los precios son para todos. Se los recomiendo."
"JOSE ANTONIO PEREZ","Local Guide · 503 reseñas · 1.248 fotos","Hace 5 años","Que decir de callao espectacular miles de tiendas restaurantes de todo tipo de nacionalidades.si vienes a Madrid hay que recorrer toda la zona mucho que ver,edificios, teatros, hay que pasar sin más."
"Jesús Marey","Local Guide · 122 reseñas · 315 fotos","Hace un año","Plaza mítica de Madrid de obligada visita. Centro neurálgico de la capital."
"Gabriela Roade","Local Guide · 107 reseñas · 1.014 fotos","Hace 10 meses","Parte de la Plaza en obras. Están montando el mercadillo navideño del ECI Callao"
"Pierre Marteau Van Wetter","Local Guide · 590 reseñas · 14.933 fotos","Hace 4 años","Imperdible Callao. Siempre hay algo, siempre pasa algo, en plena Gran Via donde siempre hay mucha vida. Es un Must cuando visites Madrid. “La plaza del Callao es un espacio público de la ciudad española de Madrid, ubicado en el barrio de Sol, perteneciente al distrito Centro. Se encuentra al final de la calle del Carmen y divide en dos tramos la calle Preciados, además de dar comienzo al tercero de la Gran Vía, que acaba en la plaza de España. Wikipedia“"
"Maria Zuazo","Local Guide · 254 reseñas · 1.451 fotos","Hace 3 años","Zona mítica, para juntarte, reunirte, disfrutar de sus calles, sus terrazas y diversas propuestas. Maravilla Madrid Centro."
"Gerardo Enrique Dominguez","Local Guide · 483 reseñas · 6.531 fotos","Hace 2 años","Hoy he estado haciendo la cobertura de prensa del inicio de la actividad teatral 2021/22. Con la presencia del Alcalde Almeida. Un acto simple y corto en un lugar emblemático para el teatro y la cultura"
"Marga Gil Benítez","Local Guide · 129 reseñas · 80 fotos","Hace 10 meses","Me ha encantado la zona, sus cines, fnac, teatros, etc."
"María Contel Comenge","Local Guide · 329 reseñas · 1.345 fotos","Hace 2 años","Madrid es toda bonita pero Callao es un sitio estratégico que ves mil veces, pasas mil veces porque conecta Gran Via con la plaza Mayor."
"Miguel Ruiz Durán","Local Guide · 587 reseñas · 1.329 fotos","Hace un año","Céntrico y concurrido. Hay muchos comercios, bares, tiendas y cines. Obligatorio si vas a Madrid"
"Fran P","Local Guide · 127 reseñas · 326 fotos","Hace 2 años","Tienes de todo a tu alcance, esta situado en un buen punto. Buena vigilancia, solo falta colocar más control a los transeúntes a nivel de no tirar basura al piso. De resto Callao me encanta."
"DAVID 360o","Local Guide · 295 reseñas · 627 fotos","Hace 4 años","Mítica Plaza siempre llena de vida y ahora vacía. Un punto que no te puedes perder si visitas Madrid, cuando pase la pandemia, claro"
"Julian Serrano","Local Guide · 727 reseñas · 995 fotos","Hace 2 años","Me gusta la estación de callao, todo un clásico en Madrid, cerca de Sol, en medio de la Gran Vía."
"Javier V.R","Local Guide · 591 reseñas · 1.821 fotos","Hace 4 años","Plaza muy céntrica de Madrid unida con la Puerta del Sol a través de la calle Preciados y la calle del Carmen y que es un nudo de comunicación con la Gran Vía,Plaza de Santo Domingo..etc El mayor problema que le veo es que está concebido cono un lugar de paso y no para estar,hay apenas un par de banquitos y un par de arbolitos q no dan apenas sombra..no hay fuentes q refresquen el ambiente y es puro adoquín. Le falta humanización a ésta plaza."
