"d4r55","RfnDt","rsqaWe","wiI7pd"
"ROBERTO E. TELLES","1 reseña","Hace un año","Excelente servicio para el usuario muchas gracias.."
"Epsi Loom","Local Guide · 62 reseñas · 292 fotos","Hace 2 años","Estación accesible y muy limpia"
"Jess Usopata","Local Guide · 171 reseñas · 17 fotos","Hace 2 años","No se sabe dónde están las empresas."
"Mijael Veizaga","Local Guide · 242 reseñas · 344 fotos","Hace 4 años","Esta zona hay parking tendrás que dar algunas vueltas pero pillas sitio"
"Carlos Segura","Local Guide · 9 reseñas","Hace 6 años","Correcta. Moderna y amplia, pero sin cobertura"
"Marlon Torres","Local Guide · 339 reseñas · 354 fotos","Hace un año","Estación limpia y espaciosa"
"Jasenia Morales","Local Guide · 47 reseñas · 3 fotos","Hace un año","Muy bien"
"Jose antonio Avila Caballero","Local Guide · 188 reseñas · 180 fotos","Hace 3 años","Estación nueva todo OK"
"Rocio Rodrigo Rubio","Local Guide · 276 reseñas","Hace 6 años","Almendrales es una estación del servicio de metro de Madrid línea 3 en el barrio Usera en Madrid España"
"Sandra R","Local Guide · 20 reseñas","Hace 3 años","Buena gente y personal cualificado"
"martin biggi","Local Guide · 466 reseñas · 345 fotos","Hace 2 años","Todo muy limpio"
"james diaz","4 reseñas","Hace 2 años","Bien"
"Ricardo Martínez","Local Guide · 242 reseñas · 109 fotos","Hace 3 años","Tipica estacion de metro."
"M E","Local Guide · 563 reseñas · 299 fotos","Hace 7 años","Estación de metro estándar, nueva."
"Pedro Fernandez Sanz","28 reseñas · 1 foto","Hace 3 años","Perfecto"
"Barbero Jimmyaldana","1 reseña · 9 fotos","Hace un año","100%profecionalismo"
"Gorky Ludeña Zambrano","Local Guide · 89 reseñas · 82 fotos","Hace 4 años","Es ideal !!!"
"Angel Leonardo Rosillo Sierra","Local Guide · 632 reseñas · 2.156 fotos","Hace 7 años","Metro Almendrales"
"J B","Local Guide · 576 reseñas · 2.412 fotos","Hace 10 meses","Bien"
"Ivo alvaro Boia cunha (Cunha)","Local Guide · 117 reseñas · 90 fotos","Hace un año","Es un lugar bueno y hermoso 😀…"
"Mateo mok","Local Guide · 39 reseñas · 1 foto","Hace 3 años","OK"
"chloé","52 reseñas","Hace una semana",""
"Pilar Cabrera","Local Guide · 25 reseñas","Hace un mes",""
"Miguel Ruiz","Local Guide · 361 reseñas · 297 fotos","Hace un mes",""
"Gina Herbas Rodríguez","Local Guide · 154 reseñas · 10 fotos","Hace 3 meses",""
"LEO","Local Guide · 144 reseñas · 305 fotos","Hace 3 meses",""
"PuffinAdvisor","Local Guide · 125 reseñas · 137 fotos","Hace 6 meses",""
"Joao Paulo Martins","Local Guide · 41 reseñas · 1 foto","Hace 6 meses",""
"Santiago Becerra","Local Guide · 309 reseñas · 520 fotos","Hace 6 meses",""
"helen Arteaga","Local Guide · 12 reseñas · 4 fotos","Hace 8 meses",""
"Emiliano Mateo","Local Guide · 67 reseñas · 37 fotos","Hace 8 meses",""
"J. V.","Local Guide · 50 reseñas · 24 fotos","Hace 9 meses",""
"Arantza Del Val","Local Guide · 52 reseñas · 50 fotos","Hace 10 meses",""
"IGT","3 reseñas","Hace 11 meses",""
"Juliany Sierra","Local Guide · 28 reseñas · 23 fotos","Hace un año",""
"Josele Appetizers","Local Guide · 388 reseñas · 647 fotos","Hace un año",""
"E M I “Negro”","Local Guide · 56 reseñas · 145 fotos","Hace un año",""
"Esther","Local Guide · 22 reseñas · 45 fotos","Hace un año",""
"WANGSHENG GAO “卷卷”","Local Guide · 2 reseñas","Hace un año",""
"Juan Sánchez Blanco","Local Guide · 72 reseñas · 152 fotos","Hace un año",""
"王QING","Local Guide · 10 reseñas · 18 fotos","Hace un año",""
"Avelino Navarro","Local Guide · 79 reseñas · 373 fotos","Hace un año",""
"Diego Garate","Local Guide · 12 reseñas · 33 fotos","Hace un año",""
"rossy ortuño","Local Guide · 26 reseñas · 11 fotos","Hace 2 años",""
"Luís Santos","Local Guide · 62 reseñas · 81 fotos","Hace 2 años",""
"Yeni E.G.","Local Guide · 124 reseñas · 299 fotos","Hace 2 años",""
"Francisco Perez Velasco","Local Guide · 6 reseñas · 17 fotos","Hace 2 años",""
"Jose María Lopez Prieto","Local Guide · 31 reseñas · 59 fotos","Hace 3 años",""
"Fcojaviermartin Javi","Local Guide · 32 reseñas","Hace 3 años",""
"Sugeidi Cayamo","Local Guide · 138 reseñas · 191 fotos","Hace 3 años",""
"L Hdez. de la Torre","Local Guide · 134 reseñas · 113 fotos","Hace 3 años",""
"Javi G","Local Guide · 28 reseñas · 61 fotos","Hace 4 años",""
"ADRIANA BERMEO","Local Guide · 44 reseñas · 421 fotos","Hace 4 años",""
"Isabel francisca Santiago","Local Guide · 4 reseñas · 26 fotos","Hace 5 años",""
"Marcos Convers","","Hace 6 años",""
"Catalin Greab","Local Guide · 6 reseñas","Hace 7 años",""
"Jesús Rojo González","Local Guide · 62 reseñas · 150 fotos","Hace 7 años",""
